follower,following,timestap,tweet,user_name
306,461,Thu Oct 25 13:58:00 +0000 2018,"RT @Eriiskandar10: Presiden &amp; Wakil Presiden Indonseia 
Pilih nomor: 2 biar sama kita..

#2019PrabowoPresiden
#2019GantiPresiden https://t.…",Mbah_Jadul
1054,992,Thu Oct 25 13:57:57 +0000 2018,"RT @1910AntiCebong: Menurut kalian Ormas Mana yg lebih di percaya dan di cintai oleh umat Islam saat ini :

FPI : Reetweet / RT
Banser : LI…",ixan253
658,285,Thu Oct 25 13:57:57 +0000 2018,RT @MSAokepunya: Kuis #2019GantiPresiden edisi Jumat 26 Oktober 2018 dengan hadiah batik keren #2019PrabowoPresiden https://t.co/sw0oNEAqJ4,OrdinaryEric
188,225,Thu Oct 25 13:57:56 +0000 2018,"RT @CakKhum: Coba hitung utk hidup 1 orang/bln:
◾Makan+minum cukup 1 kali Rp10 rb x 30 hari =Rp300 rb
◾Sisa Rp100 rb sabun mandi, pasta gig…",swindriyati
252,517,Thu Oct 25 13:57:55 +0000 2018,"RT @MSAokepunya: edisi Malam Jumat
Mari #salingfollow bersama akun kuis #2019GantiPresiden 

Caranya
👉 Follow @MSAokepunya
🔃 Retweet twit i…",AnwarSyuhada1
249,476,Thu Oct 25 13:57:54 +0000 2018,"RT @RanupsProSandi: Budget 855,5M
Berapa realisasi pesta IMF/WB di Bali?
List Budget
▪Akmdasi 569,9M
▪Konsumsi Rp 190,5M
▪Trnsprtasi Rp 36,…",GantiJokiKacung
130,431,Thu Oct 25 13:57:51 +0000 2018,"RT @CH_chotimah: Bukti gerakan #2019GantiPresiden dan pengurus persaudaraan alumni 212 mendukung penegakan khilafah.
Bukti orang2 dibelakan…",msputria
107,198,Thu Oct 25 13:57:51 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",anggiking
86,363,Thu Oct 25 13:57:48 +0000 2018,"RT @45Parman: @ronavioleta @Gustika @chicohakim Bung karno hebat orasi nya, Tanpa teks.... 
Bung hatta luas wawasan nya, tanpa ikutin arus.…",belentuksukabu1
957,1280,Thu Oct 25 13:57:45 +0000 2018,"RT @RanupsProSandi: #AksiBelaKalimatTauhid 
Pekanbaru bergerak!
25.10.18 
 Saatnya kita bersatu demi #IndonesiaAdilMakmur
#2019GantiPreside…",mr_supiansyah
218,467,Thu Oct 25 13:57:42 +0000 2018,"RT @CakKhum: Jokowi Sebut Data Beras Berantakan Sejak Era Soeharto

Seperti biasa, melempar ke pendahulunya.
#2019GantiPresiden #PrabowoSan…",integrity160171
155,256,Thu Oct 25 13:57:38 +0000 2018,"RT @RanupsProSandi: #AksiBelaKalimatTauhid 
Pekanbaru bergerak!
25.10.18 
 Saatnya kita bersatu demi #IndonesiaAdilMakmur
#2019GantiPreside…",khuldinh_
542,1200,Thu Oct 25 13:57:34 +0000 2018,@Firmans70080295 Sama... Benci roman. #2019GantiPresiden,eldina_fatimah
110,88,Thu Oct 25 13:57:33 +0000 2018,@arfar_pas @realdestiayu #2019GantiPresiden pilih #PrabowoSandi semoga yang belum nikah cepat nikah. Aamiin.,LampungBangkit
8,108,Thu Oct 25 13:57:28 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",sukmana_nugraha
47,405,Thu Oct 25 13:57:28 +0000 2018,"RT @CakKhum: KPK Tangkap Tangan Bupati Cirebon

Sunjaya Purwadi Sastra Adalah Kader PDIP

Alamak PDIP lagi PDIP lagi
#2019GantiPresiden #Pr…",Washklinik4
155,256,Thu Oct 25 13:57:27 +0000 2018,"RT @BangPino_: Wuih... Sakti Mandraguna Banser...

Tonton sampai usai...
Ini hanya #LucuLucuan tidak untuk ditiru tanpa anda terlatih....…",khuldinh_
515,251,Thu Oct 25 13:57:25 +0000 2018,"Viral Sri Mulyani Bertopi Tauhid, Begini Penjelasan Kemenkeu ✌🅦🅐🅙🅘🅑✌ https://t.co/3VozAaSYhm #2019GantiPresiden… https://t.co/QHFrlOUmf0",Sukur1n
767,1164,Thu Oct 25 13:57:20 +0000 2018,"RT @abanda_raja: Presiden Instruksikan 2016 harga daging sapi dibawah 80 ribu per kg?

Beginilah #BapakHoaxNasional #PolitisiSontoloyo
Beke…",YusrilFadh
91,41,Thu Oct 25 13:57:19 +0000 2018,"RT @RajaPurwa: Pak, katanya dulu pas debat capres 2014 pake programmer 2 minggu jadi! Pegimana sich!

Lah skrng sekarang nyalahin 21 tahun…",tukanganalisa
359,893,Thu Oct 25 13:57:17 +0000 2018,"RT @aburasyid13: Presidennya bilang SONTOLOYO, sekarang menterinya bilang GOBLOK. rezim senang umbar SUMPAH SERAPAH bila dikritik. Giliran…",abah_iman_
1470,1900,Thu Oct 25 13:57:16 +0000 2018,"RT @RanupsProSandi: #AksiBelaKalimatTauhid 
Pekanbaru bergerak!
25.10.18 
 Saatnya kita bersatu demi #IndonesiaAdilMakmur
#2019GantiPreside…",SyifaZNisa
133,358,Thu Oct 25 13:57:14 +0000 2018,"RT @elfizal: Ternyata Bukan Hanya bendera Tauhid warna hitam yg mereka razia!

Warna Putih juga!
Lalu ini lambang HTI juga? 😁😁😁

Banser bik…",Nandangsud1
283,294,Thu Oct 25 13:57:14 +0000 2018,"RT @aburasyid13: Presidennya bilang SONTOLOYO, sekarang menterinya bilang GOBLOK. rezim senang umbar SUMPAH SERAPAH bila dikritik. Giliran…",zaenale
17,215,Thu Oct 25 13:57:06 +0000 2018,"RT @RelawanProSandi: Ustad Adi Hidayat bicara tentang Pembakaran Bendera Tauhid :
""Kita setiap Muslim menyayangkan Peristiwa dimaksud, seti…",fafakucihai
49,152,Thu Oct 25 13:57:02 +0000 2018,"RT @Muslim_Bersatu1: Rame2 Projo Pindah Ke Jalan yg Benar', Bergabung Mendukung Prabowo-Sandi ...

#Cukup1Periode #2019GantiPresiden 
#2019…",HappyTresno
272,818,Thu Oct 25 13:56:57 +0000 2018,"RT @RajaAngku: Mulai ngakui nie... :-)
Sekarang ini impor lebih besar drpd ekspor, ya defisit terus... 

#2019GantiPresiden https://t.co/8x…",rexyn1906
155,256,Thu Oct 25 13:56:56 +0000 2018,"RT @RelawanProSandi: Ayo Presiden yg juga Capres! 

Jujurlah dimulai dari dirimu
Jangan suka klaim hasil akhir padahal proses sebuah proyek…",khuldinh_
3169,1253,Thu Oct 25 13:56:54 +0000 2018,"RT @SammiSoh: Mari kita simak rencana jahat dr pihak Prabowo, sang master kerusuhan. @NgabalinAli yg pernah berada di sarang penyamun jelas…",RRoctavian
733,1063,Thu Oct 25 13:56:52 +0000 2018,"RT @newsjundi: Aksi bela Kalimat Tauhid di Kota Serang Banten [24/10/2018]

#2019GantiPresiden agar tdk ad lg yg bakar Bendera Tauhid https…",AsSahruf
